"service","year","month","rows","status","run_tag","ts_utc","error"
"yellow",2020,9,"1341017","OK","ingesta_20251110_043934","2025-11-10T07:36:10Z",""
"yellow",2020,10,"1681132","OK","ingesta_20251110_043934","2025-11-10T07:36:39Z",""
"yellow",2020,11,"1509000","OK","ingesta_20251110_043934","2025-11-10T07:37:16Z",""
"yellow",2020,12,"1461898","OK","ingesta_20251110_043934","2025-11-10T07:37:57Z",""
"yellow",2021,2,"1371709","OK","ingesta_20251110_043934","2025-11-10T07:38:25Z",""
"yellow",2021,3,"1925152","OK","ingesta_20251110_043934","2025-11-10T07:38:51Z",""
"yellow",2021,4,"2171187","OK","ingesta_20251110_043934","2025-11-10T07:39:26Z",""
"yellow",2021,5,"2507109","OK","ingesta_20251110_043934","2025-11-10T07:40:05Z",""
"yellow",2021,6,"2834264","OK","ingesta_20251110_043934","2025-11-10T07:40:53Z",""
"yellow",2021,7,"2821746","OK","ingesta_20251110_043934","2025-11-10T07:41:45Z",""
"yellow",2021,8,"2788757","OK","ingesta_20251110_043934","2025-11-10T07:42:34Z",""
"yellow",2021,9,"2963793","OK","ingesta_20251110_043934","2025-11-10T07:43:21Z",""
"yellow",2021,10,"3463504","OK","ingesta_20251110_043934","2025-11-10T07:44:17Z",""
"yellow",2021,11,"3472949","OK","ingesta_20251110_043934","2025-11-10T07:45:19Z",""
"yellow",2021,12,"3214369","OK","ingesta_20251110_043934","2025-11-10T07:46:20Z",""
"yellow",2022,1,"2463931","OK","ingesta_20251110_043934","2025-11-10T07:47:16Z",""
"yellow",2022,2,"2979431","OK","ingesta_20251110_043934","2025-11-10T07:48:16Z",""
"yellow",2022,3,"3627882","OK","ingesta_20251110_043934","2025-11-10T07:49:12Z",""
"yellow",2022,4,"3599920","OK","ingesta_20251110_043934","2025-11-10T07:50:16Z",""
"yellow",2022,5,"3588295","OK","ingesta_20251110_043934","2025-11-10T07:51:42Z",""
"yellow",2022,6,"3558124","OK","ingesta_20251110_043934","2025-11-10T07:52:45Z",""
"yellow",2022,7,"3174394","OK","ingesta_20251110_043934","2025-11-10T07:54:13Z",""
"yellow",2022,8,"3152677","OK","ingesta_20251110_043934","2025-11-10T07:55:18Z",""
"yellow",2022,9,"3183767","OK","ingesta_20251110_043934","2025-11-10T07:56:21Z",""
"yellow",2022,10,"3675411","OK","ingesta_20251110_043934","2025-11-10T07:57:31Z",""
"yellow",2022,11,"3252717","OK","ingesta_20251110_043934","2025-11-10T07:58:57Z",""
"yellow",2022,12,"3399549","OK","ingesta_20251110_043934","2025-11-10T08:00:01Z",""
"yellow",2023,1,"3066766","OK","ingesta_20251110_043934","2025-11-10T08:01:24Z",""
"yellow",2023,2,"2913955","OK","ingesta_20251110_043934","2025-11-10T08:02:24Z",""
"yellow",2023,3,"3403766","OK","ingesta_20251110_043934","2025-11-10T08:03:35Z",""
"yellow",2023,4,"3288250","OK","ingesta_20251110_043934","2025-11-10T08:04:39Z",""
"yellow",2023,5,"3513649","OK","ingesta_20251110_043934","2025-11-10T08:05:58Z",""
"yellow",2023,6,"3307234","OK","ingesta_20251110_043934","2025-11-10T08:07:18Z",""
"yellow",2023,7,"2907108","OK","ingesta_20251110_043934","2025-11-10T08:08:21Z",""
"yellow",2023,8,"2824209","OK","ingesta_20251110_043934","2025-11-10T08:09:21Z",""
"yellow",2023,9,"2846722","OK","ingesta_20251110_043934","2025-11-10T08:09:59Z",""
"yellow",2023,10,"3522285","OK","ingesta_20251110_043934","2025-11-10T08:10:43Z",""
"yellow",2023,11,"3339715","OK","ingesta_20251110_043934","2025-11-10T08:11:46Z",""
"yellow",2023,12,"3376567","OK","ingesta_20251110_043934","2025-11-10T08:12:33Z",""
"yellow",2024,1,"2964624","OK","ingesta_20251110_043934","2025-11-10T08:13:37Z",""
"yellow",2024,2,"3007526","OK","ingesta_20251110_043934","2025-11-10T08:14:26Z",""
"yellow",2024,3,"3582628","OK","ingesta_20251110_043934","2025-11-10T08:15:09Z",""
